Id,Centroid_x,Centroid_y,Area
1,9,22,674.0
2,1307,10,586.0
3,1373,14,690.0
4,847,18,696.0
5,957,21,694.0
6,182,23,695.0
7,1185,25,695.0
8,508,33,701.0
9,785,43,697.0
10,995,48,1377.0
11,871,45,691.0
12,1079,50,693.0
13,908,66,697.0
14,1240,70,701.0
15,1192,72,698.0
16,458,75,701.0
17,347,95,698.0
18,676,101,690.0
19,473,104,697.0
20,833,115,1215.0
21,949,108,698.0
22,1030,113,695.0
23,325,118,699.0
24,635,123,1207.0
25,1139,132,699.0
26,756,133,690.0
27,186,160,697.0
28,431,166,1383.0
29,337,180,1343.0
30,1148,168,697.0
31,34,171,692.0
32,826,175,701.0
33,1249,183,694.0
34,678,187,698.0
35,921,191,696.0
36,1342,207,699.0
37,655,212,700.0
38,195,218,691.0
39,850,227,700.0
40,1300,230,693.0
41,544,243,700.0
42,658,244,691.0
43,1345,256,1054.0
44,1026,252,694.0
45,811,253,695.0
46,1103,257,1232.0
47,754,255,870.0
48,1179,259,998.0
49,235,282,1833.0
50,720,277,1990.0
51,470,265,690.0
52,578,265,697.0
53,868,266,698.0
54,15,269,699.0
55,275,298,698.0
56,13,323,1309.0
57,1015,308,1243.0
58,1080,316,694.0
59,1280,328,695.0
60,279,330,695.0
61,1226,334,1228.0
62,981,348,692.0
63,945,364,1358.0
64,1324,351,688.0
65,1165,352,697.0
66,377,358,698.0
67,722,361,697.0
68,49,381,695.0
69,1159,399,696.0
70,860,408,700.0
71,722,417,1256.0
72,248,424,690.0
73,215,430,693.0
74,323,431,697.0
75,35,439,1134.0
76,520,439,702.0
77,1039,449,1333.0
78,420,450,696.0
79,250,464,698.0
80,685,472,695.0
81,309,480,886.0
82,170,482,700.0
83,1342,503,1896.0
84,979,505,1783.0
85,1140,492,690.0
86,223,503,698.0
87,682,540,2459.0
88,617,511,698.0
89,940,520,696.0
90,368,527,694.0
91,313,557,2369.0
92,899,545,1874.0
93,1281,545,689.0
94,536,547,690.0
95,827,561,2166.0
96,604,556,692.0
97,1349,566,698.0
98,137,580,1392.0
99,8,569,519.0
100,1079,569,690.0
101,82,585,692.0
102,217,586,696.0
103,943,586,695.0
104,467,599,694.0
105,396,641,4780.0
106,742,606,1004.0
107,1307,606,698.0
108,167,615,696.0
109,652,623,694.0
110,288,627,698.0
111,1163,629,699.0
112,988,631,696.0
113,61,634,696.0
114,837,643,692.0
115,1331,643,697.0
116,951,648,697.0
117,558,654,694.0
118,1215,655,695.0
119,668,680,2519.0
120,1254,662,693.0
121,749,663,698.0
122,1100,663,697.0
123,81,667,699.0
124,28,681,699.0
125,229,681,696.0
126,279,685,695.0
127,789,687,696.0
128,936,696,689.0
129,1141,702,698.0
130,411,713,1354.0
131,1277,710,696.0
132,963,722,695.0
133,1098,724,699.0
134,1371,730,695.0
135,533,755,1362.0
136,493,743,697.0
137,571,746,689.0
138,215,750,691.0
139,907,758,687.0
140,342,762,700.0
141,1194,762,692.0
142,741,765,689.0
143,398,779,699.0
144,887,790,1392.0
145,17,796,1345.0
146,703,802,1936.0
147,557,794,696.0
148,839,795,691.0
149,373,803,694.0
150,1167,830,1386.0
151,276,819,693.0
152,817,830,696.0
153,644,833,697.0
154,309,835,700.0
155,228,845,1113.0
156,805,876,1391.0
157,107,871,1367.0
158,993,864,697.0
159,167,868,696.0
160,695,870,694.0
161,841,875,695.0
162,309,883,1002.0
163,1157,897,1357.0
164,627,886,696.0
165,509,895,1939.0
166,42,889,695.0
167,421,889,696.0
168,731,898,696.0
169,139,913,1388.0
170,1019,906,701.0
171,1205,927,697.0
172,375,938,1176.0
173,72,932,695.0
174,533,933,693.0
175,867,939,692.0
176,1394,947,247.0
177,1336,947,636.0
178,334,949,572.0
179,257,951,467.0
180,207,953,320.0
181,839,953,324.0
182,459,954,292.0
183,20,956,103.0
184,136,957,83.0
