Id,Centroid_x,Centroid_y,Area,Eccentricity
3,653,32,302.0,0.37287975910261356
10,604,45,509.0,0.8389420320987651
12,741,36,141.0,0.9095754758824209
16,719,49,453.0,0.8135432001377536
18,780,47,473.0,0.8217739719948368
19,499,71,670.0,0.930343550718557
20,655,80,192.0,0.7881543911042587
21,699,102,579.0,0.9128802066256271
22,633,126,812.0,0.9046164183570448
23,737,132,527.0,0.7736405111473772
24,674,125,129.0,0.91388815450746
25,792,135,307.0,0.21975355019020165
27,693,148,184.0,0.8077485771103777
28,464,151,109.0,0.9589702053403992
29,532,167,214.0,0.7251276532871632
30,614,167,319.0,0.22623141573818398
31,753,171,522.0,0.7841951717748518
33,653,199,319.0,0.21751604109093528
34,589,218,1263.0,0.8712592547166254
35,921,211,210.0,0.7008823679332014
36,625,222,322.0,0.19536836051792827
37,678,247,506.0,0.7246758762430104
38,708,247,524.0,0.7288678785121874
39,792,251,482.0,0.7336903777990081
40,756,251,207.0,0.7427324974064925
41,400,257,155.0,0.8736549149219516
42,933,259,238.0,0.6514182840890804
43,514,261,319.0,0.22077467563785041
44,716,274,333.0,0.4663653142913762
45,766,320,1861.0,0.9457474554432104
46,986,294,330.0,0.3704318643775018
47,543,299,668.0,0.7942296912821617
48,899,296,315.0,0.34133502678849376
50,821,322,1416.0,0.7445308653140981
52,669,321,321.0,0.24159625047822095
54,462,322,316.0,0.24016462208048858
55,572,365,2903.0,0.9693526675794393
56,913,339,513.0,0.745251276275576
58,346,350,568.0,0.6656979960556544
59,635,346,345.0,0.22416472298488815
60,616,357,326.0,0.22067226090066067
61,711,358,263.0,0.4621770430718834
62,497,371,1224.0,0.7263191916618128
63,677,361,149.0,0.8738737373764568
65,992,369,300.0,0.2875956784122788
66,767,382,820.0,0.920948256877643
67,698,405,1668.0,0.5705256511794398
68,985,407,278.0,0.4870560896216182
69,761,418,682.0,0.8628549118646295
70,632,423,311.0,0.7037201215919405
71,506,429,333.0,0.14580117091648123
72,539,434,512.0,0.7220670173943734
73,866,451,940.0,0.8926018460420467
74,585,443,527.0,0.7255777399002442
75,672,438,180.0,0.7979994498303364
79,359,469,472.0,0.8389704433799764
80,657,486,561.0,0.7346336225624308
81,869,492,322.0,0.3765661554378666
82,660,521,613.0,0.8697363557936193
83,421,518,324.0,0.15029994423466939
84,542,524,337.0,0.259302134756788
86,493,631,176.0,0.8376099700506533
87,576,635,295.0,0.10384390191488851
88,745,666,859.0,0.8440779424605024
