Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity
1,16.0,492.0,70.0,425.0,0.7189568066550976
2,17.0,489.0,72.0,481.0,0.7478269474965561
3,16.0,490.0,69.0,385.0,0.7763746207182716
4,15.0,491.0,69.0,416.0,0.7964652750273576
5,17.0,490.0,70.0,391.0,0.7539610638687
6,16.0,491.0,69.0,385.0,0.7711003835667284
7,19.0,499.0,71.0,670.0,0.930343550718557
8,11.0,496.0,71.0,581.0,0.8943558428483235
9,16.0,491.0,69.0,393.0,0.7512906291421584
10,13.0,491.0,69.0,400.0,0.7521359150723578
11,18.0,491.0,70.0,434.0,0.7386573278132159
12,14.0,491.0,69.0,396.0,0.7527257842152242
13,12.0,497.0,71.0,621.0,0.9124417697677668
14,10.0,491.0,69.0,363.0,0.7657768310157463
15,13.0,491.0,73.0,394.0,0.7379510875379695
16,16.0,490.0,70.0,348.0,0.7404890646845397
17,17.0,491.0,70.0,393.0,0.7062769507817763
18,15.0,490.0,70.0,347.0,0.7193937374979745
19,15.0,490.0,69.0,352.0,0.7646622075515815
20,16.0,490.0,69.0,400.0,0.7388736206145465
21,14.0,491.0,70.0,398.0,0.7162999453686915
22,14.0,491.0,70.0,407.0,0.687668754977364
23,13.0,490.0,69.0,406.0,0.7794491802577825
24,13.0,491.0,69.0,354.0,0.7671418846279622
25,20.0,491.0,70.0,414.0,0.7651099253448135
26,16.0,490.0,71.0,442.0,0.6951696020837161
27,17.0,491.0,70.0,401.0,0.7418821899219876
28,19.0,493.0,74.0,421.0,0.8207854801728245
29,15.0,490.0,71.0,342.0,0.705783456071705
30,13.0,491.0,69.0,391.0,0.7452004509756773
31,12.0,491.0,69.0,375.0,0.701505163719222
32,11.0,487.0,71.0,231.0,0.4192951029093151
33,17.0,490.0,71.0,343.0,0.7155395407913236
34,13.0,490.0,72.0,340.0,0.6787231014722636
35,25.0,486.0,72.0,125.0,0.9389909029257044
36,19.0,491.0,70.0,410.0,0.7503042513868464
37,15.0,491.0,70.0,400.0,0.7135665627136174
