Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
0,24.0,1029.0,112.0,695.0,0.163107737008163,24.0
1,23.0,1029.0,109.0,692.0,0.1037285308006572,
2,21.0,1033.0,107.0,696.0,0.1595700974003391,
3,22.0,1032.0,107.0,690.0,0.0548310727508585,
4,22.0,1031.0,109.0,689.0,0.139032290533601,
5,22.0,1031.0,111.0,698.0,0.1975260872914827,
6,22.0,1033.0,109.0,696.0,0.2029840940554687,
7,20.0,1031.0,108.0,699.0,0.0494148849743911,
8,20.0,1032.0,108.0,697.0,0.2088187001934994,
9,20.0,1036.0,108.0,700.0,0.0478627043569994,
10,22.0,1033.0,112.0,695.0,0.0783568329965981,
11,23.0,1032.0,115.0,698.0,0.1996320422004049,
12,22.0,1032.0,118.0,689.0,0.0813986239164185,
13,22.0,1034.0,119.0,694.0,0.1634164698082791,
14,23.0,1032.0,119.0,693.0,0.1745831344366307,
15,22.0,1030.0,116.0,693.0,0.1634204759751331,
16,22.0,1032.0,115.0,696.0,0.1543193430486107,
17,22.0,1031.0,112.0,697.0,0.1511424838784839,
18,22.0,1030.0,113.0,695.0,0.1750221882495811,
19,23.0,1032.0,116.0,698.0,0.1176233088460424,
20,21.0,1033.0,116.0,696.0,0.1186529864132035,
21,22.0,1034.0,115.0,694.0,0.1339969802140112,
22,21.0,1031.0,113.0,698.0,0.0913251206348283,
23,20.0,1033.0,111.0,692.0,0.117043974502048,
24,21.0,1033.0,111.0,693.0,0.1540488676412168,
25,21.0,1036.0,113.0,696.0,0.1162924616969247,
26,21.0,1038.0,109.0,693.0,0.1116046994135786,
27,20.0,1036.0,109.0,690.0,0.0680214512530243,
28,20.0,1038.0,108.0,698.0,0.1319872496702569,
29,18.0,1041.0,106.0,690.0,0.0967926873411681,
30,18.0,1043.0,106.0,695.0,0.1351108874753239,
31,18.0,1046.0,104.0,699.0,0.1479073232384774,
32,17.0,1044.0,100.0,694.0,0.1572618063770889,
33,17.0,1041.0,99.0,698.0,0.0751517645662002,
34,17.0,1042.0,97.0,691.0,0.0994990668618171,
35,17.0,1038.0,99.0,694.0,0.1384170066716948,
36,18.0,1041.0,98.0,696.0,0.1069872937195002,
37,19.0,1039.0,102.0,693.0,0.1680536026938526,
38,19.0,1039.0,103.0,700.0,0.1423890205626645,
39,18.0,1041.0,105.0,694.0,0.1634164698082791,
40,20.0,1037.0,107.0,697.0,0.1511424838784839,
41,20.0,1037.0,109.0,699.0,0.1302364702726739,
42,21.0,1036.0,107.0,697.0,0.098247284409071,
43,18.0,1040.0,103.0,688.0,0.1088899822949898,
44,17.0,1040.0,103.0,698.0,0.1027500664413324,
45,21.0,1036.0,107.0,698.0,0.1763597059781133,
46,22.0,1039.0,110.0,691.0,0.1556580831482811,
47,23.0,1037.0,112.0,695.0,0.1652877318134913,
48,21.0,1040.0,113.0,699.0,0.1240890095330569,
49,21.0,1043.0,109.0,690.0,0.1212108540259432,
50,20.0,1040.0,111.0,693.0,0.1493837398530534,
51,20.0,1038.0,109.0,689.0,0.0881933614550216,
52,20.0,1037.0,112.0,697.0,0.0989837509094455,
53,19.0,1033.0,116.0,697.0,0.1695062320877939,
54,20.0,1036.0,117.0,696.0,0.1432297832889365,
55,18.0,1038.0,117.0,691.0,0.0533984864540041,
56,19.0,1040.0,117.0,694.0,0.0880716591734089,
57,18.0,1036.0,116.0,696.0,0.0872970928005289,
58,19.0,1036.0,114.0,698.0,0.2018743249267931,
59,19.0,1039.0,116.0,699.0,0.157846507043077,
60,19.0,1038.0,115.0,694.0,0.0723491441272358,
61,19.0,1035.0,112.0,697.0,0.1150942980794167,
