Id,Centroid_x,Centroid_y,Area,Eccentricity
5,655,30,330.0,0.19974893815500183
6,737,31,261.0,0.5932202772289852
11,605,42,547.0,0.8048165364035617
12,716,45,479.0,0.7257706012617254
13,787,46,257.0,0.7777404004020877
14,764,54,311.0,0.3193641662751628
18,491,70,434.0,0.7386573278132159
19,520,70,286.0,0.47339469293830877
20,662,84,161.0,0.8707944902547216
21,696,106,761.0,0.9359015869577405
22,632,125,891.0,0.7173916559837948
23,737,132,528.0,0.7776608437300907
24,790,138,267.0,0.5220059098600375
25,695,152,291.0,0.3816702495615588
26,468,155,128.0,0.9297430448490991
27,531,166,314.0,0.35813859417190874
28,613,166,317.0,0.1929179420961103
29,754,170,535.0,0.7767853935921385
31,652,200,318.0,0.269929127956824
32,589,218,1264.0,0.8696694662190187
33,919,206,196.0,0.7769050044446789
34,625,222,322.0,0.19011458197656617
35,678,247,507.0,0.7259255162645175
36,708,247,531.0,0.7305485319270107
37,935,247,284.0,0.46196189901351864
38,793,252,489.0,0.7225471974887776
39,756,254,308.0,0.29966441331535615
40,514,261,319.0,0.16649984262756243
41,402,264,207.0,0.7419010323185419
42,716,275,337.0,0.4728591609983022
43,766,320,1854.0,0.9440473927937073
44,541,299,773.0,0.8473176406410913
45,986,295,329.0,0.34534215002340535
46,899,296,314.0,0.33134794587780614
48,821,322,1428.0,0.7432773362636941
50,460,316,310.0,0.3195617491572165
51,670,320,319.0,0.3163014960074557
52,573,366,2886.0,0.9663042785304873
53,914,339,516.0,0.7543013697805999
54,345,350,578.0,0.6686499666211972
55,635,347,345.0,0.19652395392247451
56,616,357,327.0,0.21275532620039248
57,678,357,264.0,0.5482509269375475
58,497,371,1197.0,0.7695258941847756
60,712,364,298.0,0.391130014801408
62,767,381,840.0,0.9261713631820522
64,993,374,238.0,0.6671489184274579
65,698,405,1675.0,0.5577524179862152
67,985,409,308.0,0.3360647742911852
68,763,418,701.0,0.8650004588531837
69,636,427,235.0,0.639346174884647
70,506,431,328.0,0.29890044979451214
71,539,435,508.0,0.7160470956782117
72,866,451,930.0,0.8895772730933442
74,585,443,521.0,0.7083400868705058
78,669,443,235.0,0.726113508261162
83,359,469,487.0,0.8356552306562893
84,658,487,566.0,0.7398682027327703
85,869,492,323.0,0.3791813517159658
86,667,516,356.0,0.5566414696850811
87,421,518,322.0,0.15914386431188873
88,542,522,337.0,0.25122740053037057
89,650,528,292.0,0.43142141016496616
91,492,632,183.0,0.822610944874571
92,574,635,304.0,0.12274161553408015
93,745,666,829.0,0.8669027943227271
