Id,Centroid_x,Centroid_y,Area
1,204,365,282652.0
2,1109,356,230450.0
3,650,18,1.0
4,645,19,5.0
5,656,29,325.0
6,733,32,148.0
7,607,39,567.0
8,791,24,1.0
9,797,26,2.0
10,600,27,1.0
11,714,44,491.0
12,786,46,246.0
13,754,56,134.0
14,517,53,4.0
15,525,66,208.0
16,492,70,425.0
17,663,87,100.0
18,701,102,529.0
19,640,113,191.0
20,620,121,354.0
21,737,132,528.0
22,681,122,125.0
23,788,141,245.0
24,635,139,194.0
25,693,155,302.0
26,471,159,160.0
27,532,164,298.0
28,612,166,315.0
29,755,170,538.0
30,652,201,321.0
31,919,200,244.0
32,589,218,1266.0
33,625,222,321.0
34,678,247,510.0
35,708,247,526.0
36,936,238,101.0
37,792,252,489.0
38,758,257,260.0
39,514,261,318.0
40,406,271,193.0
41,716,275,336.0
42,766,320,1838.0
43,540,298,794.0
44,986,295,333.0
45,899,296,315.0
46,797,303,1.0
47,823,318,1067.0
48,458,312,274.0
49,795,305,1.0
50,670,320,327.0
51,573,366,2814.0
52,913,339,517.0
53,815,337,346.0
54,346,350,574.0
55,635,346,343.0
56,679,354,316.0
57,608,348,1.0
58,616,357,325.0
59,497,370,1159.0
60,767,380,849.0
61,747,364,1.0
62,716,372,181.0
63,991,378,189.0
64,985,372,5.0
65,984,376,1.0
66,698,405,1655.0
67,673,390,1.0
68,672,392,1.0
69,985,411,328.0
70,764,418,696.0
71,640,428,158.0
72,539,435,507.0
73,506,435,267.0
74,866,451,922.0
75,585,443,514.0
76,575,435,2.0
77,664,445,335.0
78,571,441,1.0
79,359,469,499.0
80,657,487,568.0
81,869,491,325.0
82,667,516,351.0
83,421,518,324.0
84,542,518,304.0
85,647,528,329.0
86,492,632,191.0
87,573,636,327.0
88,746,666,809.0
